Plaintext,Ciphertext,CipherType
The clock struck midnight,thgindim kcurts kcolc ehT,transposition
The clock struck midnight,DLC MPMMO QDVSMO KSHLSKFD,vigenere
The clock struck midnight,GSV XOLXP HGIFXP NRWMRTSG,atbash
The clock struck midnight,ZRC SLASG UZPESG QWXVWMRZ,affine
The clock struck midnight,VFODSCROMZDTROQFGULHFV,playfair
The clock struck midnight,Tckr nth lc tukmdiheoscig,rail_fence
The clock struck midnight,10011 00111 00100 00010 01011 01110 00010 01010 10010 10011 10001 10100 00010 01010 01100 01000 00011 01101 01000 00110 00111 10011,bacon
She wore a red scarf that day,Mby qily u lyx mwulz nbun xus,caesar
She wore a red scarf that day,EOV PXZV N ZVF EHNZS DOND FNY,substitution
She wore a red scarf that day,yad taht fracs der a erow ehS,transposition
She wore a red scarf that day,KLG NSKW E TVH LUETW XASX FRC,vigenere
She wore a red scarf that day,HSV DLIV Z IVW HXZIU GSZG WZB,atbash
She wore a red scarf that day,URC OAPC I PCX USIPH ZRIZ XIY,affine
She wore a red scarf that day,PLYOKCYDDKCNRBFMVFRVABWV,playfair
She wore a red scarf that day,Sw ec tyh oeardsafta aer  rhd,rail_fence
She wore a red scarf that day,10010 00111 00100 10110 01110 10001 00100 00000 10001 00100 00011 10010 00010 00000 10001 00101 10011 00111 00000 10011 00011 00000 11000,bacon
Coffee brewed in the kitchen,Iullkk hxkckj ot znk qozinkt,caesar
Coffee brewed in the kitchen,DTLLEE MVEJEY SB CUE GSCDUEB,substitution
Coffee brewed in the kitchen,nehctik eht ni dewerb eeffoC,transposition
Coffee brewed in the kitchen,MSDPIC LVCGIB SR RRI ISXARIL,vigenere
Coffee brewed in the kitchen,XLUUVV YIVDVW RM GSV PRGXSVM,atbash
Coffee brewed in the kitchen,SAHHCC NPCOCX WV ZRC GWZSRCV,affine
Coffee brewed in the kitchen,LCITWUCDYODGGQVFYEFXALDU,playfair
Coffee brewed in the kitchen,Cerd  cofebee ntekthnf wihie,rail_fence
Coffee brewed in the kitchen,00010 01110 00101 00101 00100 00100 00001 10001 00100 10110 00100 00011 01000 01101 10011 00111 00100 01010 01000 10011 00010 00111 00100 01101,bacon
A squirrel darted across the yard,Y qosgppcj byprcb yapmqq rfc wypb,caesar
A squirrel darted across the yard,O RYEUHHPA FOHGPF OZHLRR GIP MOHF,substitution
A squirrel darted across the yard,dray eht ssorca detrad lerriuqs A,transposition
A squirrel darted across the yard,K WOEMPBIJ NEPDIB KGPYWQ DLC IEPN,vigenere
A squirrel darted across the yard,Z HJFRIIVO WZIGVW ZXILHH GSV BZIW,atbash
A squirrel darted across the yard,I UKEWPPCL XIPZCX ISPAUU ZRC YIPX,affine
A squirrel darted across the yard,CPNXFBDKGCBDUKABRDCZMZGYAHDA,playfair
A squirrel darted across the yard,Aueadr  d qirldre costeyrsr tasha,rail_fence
A squirrel darted across the yard,00000 10010 10000 10100 01000 10001 10001 00100 01011 00011 00000 10001 10011 00100 00011 00000 00010 10001 01110 10010 10010 10011 00111 00100 11000 00000 10001 00011,bacon
The ocean waves crashed against the shore,Ocz jxzvi rvqzn xmvnczy vbvdino ocz ncjmz,caesar
The ocean waves crashed against the shore,VIY FGYUZ OUTYC GXUCIYQ UNUKZCV VIY CIFXY,substitution
The ocean waves crashed against the shore,erohs eht tsniaga dehsarc sevaw naeco ehT,transposition
The ocean waves crashed against the shore,LLG FGXSR YRZXK GTRWAWH CXEBFWV KLX KLQII,vigenere
The ocean waves crashed against the shore,GSV LXVZM DZEVH XIZHSVW ZTZRMHG GSV HSLIV,atbash
The ocean waves crashed against the shore,ZRC ASCIV OIJCU SPIURCX IMIWVUZ ZRC URAPC,affine
The ocean waves crashed against the shore,VFYKDODPYBUYZLDBPLDGDHBHPMUZGYPLKCWU,playfair
The ocean waves crashed against the shore,Tonvchantseh ca ae rse gis h hreewsadateo,rail_fence
The ocean waves crashed against the shore,10011 00111 00100 01110 00010 00100 00000 01101 10110 00000 10101 00100 10010 00010 10001 00000 10010 00111 00100 00011 00000 00110 00000 01000 01101 10010 10011 10011 00111 00100 10010 00111 01110 10001 00100,bacon
His laugh was contagious,Xyi bqkwx mqi sedjqwyeki,caesar
His laugh was contagious,MSL KDGQM TDL YCAWDQSCGL,substitution
His laugh was contagious,suoigatnoc saw hgual siH,transposition
His laugh was contagious,JWV PCIJL YOV GQBWEIWRYU,vigenere
His laugh was contagious,SRH OZFTS DZH XLMGZTRLFH,atbash
His laugh was contagious,RWU LIEMR OIU SAVZIMWAEU,affine
His laugh was contagious,ILZSDVHIYBZLESVRHLEZQZ,playfair
His laugh was contagious,Hlhsnii ag a otgossuwcau,rail_fence
His laugh was contagious,00111 01000 10010 01011 00000 10100 00110 00111 10110 00000 10010 00010 01110 01101 10011 00000 00110 01000 01110 10100 10010,bacon
The door creaked open slowly,Rfc bmmp apcyicb mncl qjmujw,caesar
The door creaked open slowly,PKN AVVE RENZYNA VBNQ XJVFJI,substitution
The door creaked open slowly,ylwols nepo dekaerc rood ehT,transposition
The door creaked open slowly,DLC NSMB GPOEIOH MZIL CPMGPW,vigenere
The door creaked open slowly,GSV WLLI XIVZPVW LKVM HOLDOB,atbash
The door creaked open slowly,ZRC XAAP SPCIGCX AFCV ULAOLY,affine
The door creaked open slowly,VFDGWZDRDKRYDGYSDUZSKOHO,playfair
The door creaked open slowly,Td a noh orcekdoe lwyeorepsl,rail_fence
The door creaked open slowly,10011 00111 00100 00011 01110 01110 10001 00010 10001 00100 00000 01010 00100 00011 01110 01111 00100 01101 10010 01011 01110 10110 01011 11000,bacon
We danced under the stars,Iq pmzoqp gzpqd ftq efmde,caesar
We danced under the stars,HG EZDVGE ODEGQ LIG BLZQB,substitution
We danced under the stars,srats eht rednu decnad eW,transposition
We danced under the stars,OI FRRVWH WEHXJ XJV WMSVU,vigenere
We danced under the stars,DV WZMXVW FMWVI GSV HGZIH,atbash
We danced under the stars,OC XIVSCX EVXCP ZRC UZIPU,affine
We danced under the stars,OYABSDDGEUGDFKGYMZBDQZ,playfair
We danced under the stars,Waddtssedne ne h tr curea,rail_fence
We danced under the stars,10110 00100 00011 00000 01101 00010 00100 00011 10100 01101 00011 00100 10001 10011 00111 00100 10010 10011 00000 10001 10010,bacon
Books piled up on the desk,Wjjfn kdgzy pk ji ocz yznf,caesar
Books piled up on the desk,VZZUB HJLXI OH ZF YQX IXBU,substitution
Books piled up on the desk,ksed eht no pu delip skooB,transposition
Books piled up on the desk,LSMUW NSPCN YN YR RRI BOWI,vigenere
Books piled up on the desk,YLLPH KROVW FK LM GSV WVHP,atbash
Books piled up on the desk,NAAGU FWLCX EF AV ZRC XCUG,affine
Books piled up on the desk,CWKEMQLFDGVNESVFDGONWT,playfair
Books piled up on the desk,Bslunesok ie po h ekopd td,rail_fence
Books piled up on the desk,00001 01110 01110 01010 10010 01111 01000 01011 00100 00011 10100 01111 01110 01101 10011 00111 00100 00011 00100 10010 01010,bacon
The city skyline sparkled at night,Ymj hnyd xpdqnsj xufwpqji fy snlmy,caesar
The city skyline sparkled at night,VXT ZOVQ BIQPOHT BRLNIPTD LV HOMXV,substitution
The city skyline sparkled at night,thgin ta delkraps enilyks ytic ehT,transposition
The city skyline sparkled at night,LLG TMMQ WMPPBFI UGEKCPGU EM FMIYX,vigenere
The city skyline sparkled at night,GSV XRGB HPBORMV HKZIPOVW ZG MRTSG,atbash
The city skyline sparkled at night,ZRC SWZY UGYLWVC UFIPGLCX IZ VWMRZ,affine
The city skyline sparkled at night,VFODFXOPEWFLUDMQBDOFDGRVQGHIUZ,playfair
The city skyline sparkled at night,Tc l rd hh iysyiesake tngtetknplai,rail_fence
The city skyline sparkled at night,10011 00111 00100 00010 01000 10011 11000 10010 01010 11000 01011 01000 01101 00100 10010 01111 00000 10001 01010 01011 00100 00011 00000 10011 01101 01000 00110 00111 10011,bacon
A soft breeze blew through the window,S kgxl tjwwrw tdwo lzjgmyz lzw oafvgo,caesar
A soft breeze blew through the window,B AWNS YIRROR YFRP SZIWJKZ SZR PELXWP,substitution
A soft breeze blew through the window,wodniw eht hguorht welb ezeerb tfos A,transposition
A soft breeze blew through the window,C GRJV PUIGNH FNSZ XJFRYIV WLG KLRFCZ,vigenere
A soft breeze blew through the window,Z HLUG YIVVAV YOVD GSILFTS GSV DRMWLD,atbash
A soft breeze blew through the window,I UAHZ NPCCDC NLCO ZRPAEMR ZRC OWVXAO,affine
A soft breeze blew through the window,CPKLXRDKOUWDGOKXFAEZHIVFYOGQCEBW,playfair
A soft breeze blew through the window,Afreehghiw otbez lwtruhtewnos eb o  d,rail_fence
A soft breeze blew through the window,00000 10010 01110 00101 10011 00001 10001 00100 00100 11001 00100 00001 01011 00100 10110 10011 00111 10001 01110 10100 00110 00111 10011 00111 00100 10110 01000 01101 00011 01110 10110,bacon
She painted the sunset in her journal,Mby juchnyx nby mohmyn ch byl diolhuf,caesar
She painted the sunset in her journal,TWN GPAZLNS LWN TOZTNL AZ WNQ CBOQZPD,substitution
She painted the sunset in her journal,lanruoj reh ni tesnus eht detniap ehS,transposition
She painted the sunset in her journal,CLC ZEGXXCN XFO WSXWCD ML RIP TSSBRYV,vigenere
She painted the sunset in her journal,HSV KZRMGVW GSV HFMHVG RM SVI QLFIMZO,atbash
She painted the sunset in her journal,URC FIWVZCX ZRC UEVUCZ WV RCP BAEPVIL,affine
She painted the sunset in her journal,PLYNBHMUDGVFONEUNOXFPGKDLWTDPDIZ,playfair
She painted the sunset in her journal,Spttsenrulh ane h usti e oraeiden hjn,rail_fence
She painted the sunset in her journal,10010 00111 00100 01111 00000 01000 01101 10011 00100 00011 10011 00111 00100 10010 10100 01101 10010 00100 10011 01000 01101 00111 00100 10001 01001 01110 10100 10001 01101 00000 01011,bacon
A rainbow arched across the sky,X oxfkylt xozeba xzolpp qeb phv,caesar
A rainbow arched across the sky,E KEUMAVG EKWFBS EWKVCC DFB CYZ,substitution
A rainbow arched across the sky,yks eht ssorca dehcra wobniar A,transposition
A rainbow arched across the sky,K VYSRZYA YBGFOH YMVMCW RRI QUC,vigenere
A rainbow arched across the sky,Z IZRMYLD ZIXSVW ZXILHH GSV HPB,atbash
A rainbow arched across the sky,I PIWVNAO IPSRCX ISPAUU ZRC UGY,affine
A rainbow arched across the sky,BDBHQDKOBDALDGBRCKQZVFONEW,playfair
A rainbow arched across the sky,Aiwc ots ano rhdars h krbaecsey,rail_fence
A rainbow arched across the sky,00000 10001 00000 01000 01101 00001 01110 10110 00000 10001 00010 00111 00100 00011 00000 00010 10001 01110 10010 10010 10011 00111 00100 10010 01010 11000,bacon
Laughter filled the room,Xmgstfqd ruxxqp ftq daay,caesar
Laughter filled the room,XPELTYVD WNXXVZ YTV DFFR,substitution
Laughter filled the room,moor eht dellif rethguaL,transposition
Laughter filled the room,VESQLROV DSPJOH RRI PYSK,vigenere
Laughter filled the room,OZFTSGVI UROOVW GSV ILLN,atbash
Laughter filled the room,LIEMRZCP HWLLCX ZRC PAAQ,affine
Laughter filled the room,HCENFVKDGLIZDGVFKDWZQT,playfair
Laughter filled the room,Lh ltragtrfle h omueideo,rail_fence
Laughter filled the room,01011 00000 10100 00110 00111 10011 00100 10001 00101 01000 01011 01011 00100 00011 10011 00111 00100 10001 01110 01110 01100,bacon
A cool breeze swept through the trees,F httq gwjjej xbjuy ymwtzlm ymj ywjjx,caesar
A cool breeze swept through the trees,O BGGN JLPPKP WIPVF FULGSEU FUP FLPPW,substitution
A cool breeze swept through the trees,seert eht hguorht tpews ezeerb looc A,transposition
A cool breeze swept through the trees,S GQFP UJIGQI LOIRK XAJSWXL MZI VIIXK,vigenere
A cool breeze swept through the trees,Z XLLO YIVVAV HDVKG GSILFTS GSV GIVVH,atbash
A cool breeze swept through the trees,I SAAL NPCCDC UOCFZ ZRPAEMR ZRC ZPCCU,affine
A cool breeze swept through the trees,BRWZICDKOUONOYMVVFCKENFVGYKFWUQZ,playfair
A cool breeze swept through the trees,Aoreetutts olbez wp hog h rec estrhee,rail_fence
A cool breeze swept through the trees,00000 00010 01110 01110 01011 00001 10001 00100 00100 11001 00100 10010 10110 00100 01111 10011 10011 00111 10001 01110 10100 00110 00111 10011 00111 00100 10011 10001 00100 00100 10010,bacon
The puppy chased its tail,Sgd otoox bgzrdc hsr szhk,caesar
The puppy chased its tail,TDK BUBBM ODPFKW JTF TPJY,substitution
The puppy chased its tail,liat sti desahc yppup ehT,transposition
The puppy chased its tail,DLC ZYNZC AREQOH GDW RKMJ,vigenere
The puppy chased its tail,GSV KFKKB XSZHVW RGH GZRO,atbash
The puppy chased its tail,ZRC FEFFY SRIUCX WZU ZIWL,affine
The puppy chased its tail,VFYNVNVAALCPDGFXMZBHIZ,playfair
The puppy chased its tail,Tpya  lh up hsdistiepceta,rail_fence
The puppy chased its tail,10011 00111 00100 01111 10100 01111 01111 11000 00010 00111 00000 10010 00100 00011 01000 10011 10010 10011 00000 01000 01011,bacon
He gazed out the window lost in thought,Ur tnmrq bhg gur jvaqbj ybfg va gubhtug,caesar
He gazed out the window lost in thought,HW JVAWS LBD DHW XMNSLX FLZD MN DHLBJHD,substitution
He gazed out the window lost in thought,thguoht ni tsol wodniw eht tuo dezag eH,transposition
He gazed out the window lost in thought,JS JEBSG SWH WLG KLRFCZ PQGW MP HKSWUKX,vigenere
He gazed out the window lost in thought,SV TZAVW LFG GSV DRMWLD OLHG RM GSLFTSG,atbash
He gazed out the window lost in thought,RC MIDCX AEZ ZRC OWVXAO LAUZ WV ZRAEMRZ,affine
He gazed out the window lost in thought,GYHDUOCEVUVFYOGQCEOICZXFMULYENFV,playfair
He gazed out the window lost in thought,Ha   dl tgegzdottewno oti huh euhiwsnot,rail_fence
He gazed out the window lost in thought,00111 00100 00110 00000 11001 00100 00011 01110 10100 10011 10011 00111 00100 10110 01000 01101 00011 01110 10110 01011 01110 10010 10011 01000 01101 10011 00111 01110 10100 00110 00111 10011,bacon
Her smile lit up the room,Tqd eyuxq xuf gb ftq daay,caesar
Her smile lit up the room,VTQ HSMJT JMZ CP ZVT QXXS,substitution
Her smile lit up the room,moor eht pu til elims reH,transposition
Her smile lit up the room,JSU WOWOI NWW YR HKI TCRQ,vigenere
Her smile lit up the room,SVI HNROV ORG FK GSV ILLN,atbash
Her smile lit up the room,RCP UQWLC LWZ EF ZRC PAAQ,affine
Her smile lit up the room,GYCMQFGOFLUVMVGYCKKS,playfair
Her smile lit up the room,Hset  me ml i pteroriluho,rail_fence
Her smile lit up the room,00111 00100 10001 10010 01100 01000 01011 00100 01011 01000 10011 10100 01111 10011 00111 00100 10001 01110 01110 01100,bacon
The ground shook beneath our feet,Cqn paxdwm bqxxt knwnjcq xda onnc,caesar
The ground shook beneath our feet,CEL QSGROM HEGGB ALOLWCE GRS KLLC,substitution
The ground shook beneath our feet,teef ruo htaeneb koohs dnuorg ehT,transposition
The ground shook beneath our feet,DLC QVMERB CLMYO ZORCKXF YYP PICD,vigenere
The ground shook beneath our feet,GSV TILFMW HSLLP YVMVZGS LFI UVVG,atbash
The ground shook beneath our feet,ZRC MPAEVX URAAG NCVCIZR AEP HCCZ,affine
The ground shook beneath our feet,VFDNCKEUCNLYKEDWUDRVLYTDGKKU,playfair
The ground shook beneath our feet,Tgnh e  th rudsokbnahorfeeo oetue,rail_fence
The ground shook beneath our feet,10011 00111 00100 00110 10001 01110 10100 01101 00011 10010 00111 01110 01110 01010 00001 00100 01101 00100 00000 10011 00111 01110 10100 10001 00101 00100 00100 10011,bacon
They shared a quiet moment together,Iwtn hwpgts p fjxti bdbtci idvtiwtg,caesar
They shared a quiet moment together,RKDU HKMQDO M JIBDR GNGDXR RNYDRKDQ,substitution
They shared a quiet moment together,rehtegot tnemom teiuq a derahs yehT,transposition
They shared a quiet moment together,DLCI WFKVCN E OEMCD QMWILD XMQIRRIP,vigenere
They shared a quiet moment together,GSVB HSZIVW Z JFRVG NLNVMG GLTVGSVI,atbash
They shared a quiet moment together,ZRCY URIPCX I KEWCZ QAQCVZ ZAMCZRCP,affine
They shared a quiet moment together,VFYWPLBDDGBPXGKUSKNKMUZKNDVFKD,playfair
They shared a quiet moment together,T raimnohhysae  ue oettgteehdqtm er,rail_fence
They shared a quiet moment together,10011 00111 00100 11000 10010 00111 00000 10001 00100 00011 00000 10000 10100 01000 00100 10011 01100 01110 01100 00100 01101 10011 10011 01110 00110 00100 10011 00111 00100 10001,bacon
The sound of footsteps echoed in the hall,Znk yuatj ul luuzyzkvy kinukj ot znk ngrr,caesar
The sound of footsteps echoed in the hall,BMW JKCIY KD DKKBJBWPJ WVMKWY ZI BMW MNSS,substitution
The sound of footsteps echoed in the hall,llah eht ni deohce spetstoof fo dnuos ehT,transposition
The sound of footsteps echoed in the hall,DLC CSSXH MP JMYXQDINC IARSCN ML DLC REJV,vigenere
The sound of footsteps echoed in the hall,GSV HLFMW LU ULLGHGVKH VXSLVW RM GSV SZOO,atbash
The sound of footsteps echoed in the hall,ZRC UAEVX AH HAAZUZCFU CSRACX WV ZRC RILL,affine
The sound of footsteps echoed in the hall,VFONEZUGKLLKKZMZYNNOALKYBGMUGYPHIZ,playfair
The sound of footsteps echoed in the hall,Tsd tpcd  lh on ffosesehe ntehleuoot oiha,rail_fence
The sound of footsteps echoed in the hall,10011 00111 00100 10010 01110 10100 01101 00011 01110 00101 00101 01110 01110 10011 10010 10011 00100 01111 10010 00100 00010 00111 01110 00100 00011 01000 01101 10011 00111 00100 00111 00000 01011 01011,bacon
Freshly baked cookies filled the air,Ugthwan qpzts rddzxth uxaats iwt pxg,caesar
Freshly baked cookies filled the air,WHBARCZ XTLBD NIILEBA WECCBD PRB TEH,substitution
Freshly baked cookies filled the air,ria eht dellif seikooc dekab ylhserF,transposition
Freshly baked cookies filled the air,PVCCLJI FYUIB MSMUMCC JGVPCN XFO EGB,vigenere
Freshly baked cookies filled the air,UIVHSOB YZPVW XLLPRVH UROOVW GSV ZRI,atbash
Freshly baked cookies filled the air,HPCURLY NIGCX SAAGWCU HWLLCX ZRC IWP,affine
Freshly baked cookies filled the air,MFONIFWARYDGLCKEGWMLLFGORUGYBHBT,playfair
